id,Item,EmpName,Storage & Organization
1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,Telephones and Communication
2,1.7 Cubic Foot Compact "Cube" Office Refrigerators,Barry French,Appliances
3,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Barry French,Binders and Binder Accessories
4,R380,Clay Rozendal,Telephones and Communication
5,Holmes HEPA Air Purifier,Carlos Soltero,Appliances
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,Office Furnishings
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,Binders and Binder Accessories
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,Storage & Organization
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,Storage & Organization
10,Xerox 198,Dorothy Badders,Paper
11,Xerox 1980,Neola Schneider,Paper
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,Rubber Bands
13,Holmes HEPA Air Purifier,Carlos Daly,Appliances
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,Computer Peripherals
15,Wilson Jones 1" Hanging DublLock� Ring Binders,Claudia Miner,Binders and Binder Accessories
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,Office Furnishings
17,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,Allen Rosenblatt,Envelopes
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,Bookcases
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,Tables
20,g520,Jim Radford,Telephones and Communication
21,LX 788,Jim Radford,Telephones and Communication
22,Avery 52,Carlos Soltero,Labels
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,Rubber Bands
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,Binders and Binder Accessories
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,Computer Peripherals
26,Newell 335,Don Miller,Pens & Art Supplies
27,SANFORD Liquid Accent� Tank-Style Highlighters,Annie Cyprus,Pens & Art Supplies
28,Canon PC940 Copier,Carl Ludwig,Copiers and Fax
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,Storage & Organization
30,Col-Erase� Pencils with Erasers,Grant Carroll,Pens & Art Supplies
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,Computer Peripherals
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,Paper
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,Labels
34,Accessory37,Alan Barnes,Telephones and Communication
35,Fuji 5.2GB DVD-RAM,Jack Garza,Computer Peripherals
36,Bevis Steel Folding Chairs,Julia West,Chairs & Chairmats
